innovation,size,sector,man_exp,training,state,age
Innovative,Large ,Manufacturing,30,provided,Selangor,25
Not innovative,Small ,Other services,11,not provided,Selangor,12
Not innovative,Small ,Other services,5,provided,Melaka,30
Not innovative,Small ,Manufacturing,30,provided,Melaka,21
Innovative,Small ,Manufacturing,22,provided,Selangor,17
Innovative,Small ,Manufacturing,13,provided,KL,49
Innovative,Large ,Manufacturing,30,provided,Selangor,28
Innovative,Medium ,Other services,30,not provided,Selangor,30
Innovative,Small ,Manufacturing,30,provided,Selangor,47
Not innovative,Small ,Manufacturing,33,provided,Selangor,19
Innovative,Medium ,Manufacture,30,provided,Selangor,22
Innovative,Medium ,Manufacturing,28,provided,Selangor,28
Innovative,Small ,Manufacturing,10,provided,Negeri Sembilan,42
Not innovative,Small ,Manufacturing,40,provided,Selangor,48
Innovative,Small ,Manufacturing,7,provided,Selangor,5
Innovative,Large ,Manufacturing,30,provided,Selangor,30
Innovative,Large ,Manufacturing,28,provided,Selangor,31
Innovative,Large ,Manufacturing,20,provided,Selangor,31
Not innovative,Large ,Manufacturing,23,provided,Selangor,39
Innovative,Large ,Manufacturing,35,provided,Selangor,20
Innovative,Medium ,Manufacturing,40,provided,Selangor,27
Innovative,Medium ,Manufacturing,30,provided,Selangor,53
Innovative,Medium ,Manufacturing,30,provided,Selangor,32
Not innovative,Small ,Manufacturing,40,not provided,Melaka,24
Not innovative,Small ,Manufacturing,30,not provided,Selangor,26
Innovative,Small ,Manufacturing,20,provided,Selangor,23
Innovative,Small ,Manufacturing,10,provided,Selangor,13
Innovative,Large ,Manufacturing,30,provided,Melaka,30
Innovative,Large ,Manufacturing,40,provided,Selangor,63
Not innovative,Small ,Manufacturing,30,provided,Selangor,13
Innovative,Large ,Manufacturing,40,provided,Melaka,65
Not innovative,Small ,Manufacturing,29,not provided,Melaka,30
Not innovative,Small ,Manufacturing,43,not provided,Melaka,27
Not innovative,Small ,Retail services,39,not provided,Negeri Sembilan,40
Innovative,Small ,Manufacturing,15,provided,Selangor,4
Not innovative,Small ,Manufacturing,20,not provided,Selangor,31
Innovative,Large ,Manufacturing,23,not provided,Selangor,31
Not innovative,Large ,Manufacturing,20,not provided,Selangor,24
Innovative,Large ,Manufacture,50,not provided,Selangor,50
Innovative,Large ,Manufacturing,35,provided,Selangor,23
Not innovative,Large ,Manufacturing,50,not provided,Selangor,48
Innovative,Medium ,Manufacturing,21,provided,Melaka,24
Innovative,Medium ,Manufacturing,20,not provided,Selangor,14
Innovative,Medium ,Manufacturing,35,not provided,Selangor,37
Innovative,Medium ,Manufacturing,40,provided,Selangor,25
Innovative,Medium ,Manufacturing,30,provided,Selangor,26
Innovative,Medium ,Retail services,15,provided,Kuala Lumpur,8
Not innovative,Small ,Manufacturing,20,not provided,Melaka,10
Not innovative,Small ,Manufacturing,30,not provided,Melaka,26
Not innovative,Small ,Manufacturing,20,not provided,Negeri Sembilan,25
Innovative,Large ,Manufacturing,40,not provided,Melaka,33
Not innovative,Large ,Manufacturing,35,not provided,Selangor,20
Not innovative,Small ,Manufacturing,30,not provided,Melaka,24
Innovative,Large ,Manufacturing,20,provided,Melaka,48
Innovative,Medium ,Manufacturing,30,provided,Selangor,30
Innovative,Medium ,Manufacturing,40,provided,Kuala Lumpur,31
Innovative,Small ,Manufacturing,15,provided,Melaka,29
Innovative,Large ,Manufacturing,30,provided,Melaka,28
Not innovative,Large ,Manufacture,4,provided,Selangor,21
Innovative,Medium ,Manufacturing,40,provided,Melaka,26
Innovative,Small ,Manufacturing,7,provided,Melaka,31
Not innovative,Small ,Manufacturing,30,provided,Selangor,23
Innovative,Large ,Manufacturing,30,provided,Selangor,18
Not innovative,Large ,Manufacturing,10,provided,Selangor,42
Innovative,Medium ,Manufacturing,20,provided,Selangor,27
Not innovative,Small ,Other services,20,provided,Negeri Sembilan,22
Not innovative,Small ,Manufacturing,40,not provided,Negeri Sembilan,20
Not innovative,Small ,Manufacturing,12,provided,Selangor,20
Not innovative,Small ,Manufacturing,25,not provided,Selangor,10
Innovative,Medium ,Other services,10,provided,Selangor,28
Innovative,Medium ,Other services,20,provided,Kuala Lumpur,23
Not innovative,Small ,Other services,10,provided,Kuala Lumpur,7
Innovative,Large ,Other services,20,provided,Kuala Lumpur,21
Innovative,Medium ,Other services,20,not provided,Selangor,15
Innovative,Medium ,Other services,30,provided,Selangor,13
Not innovative,Small ,Other services,20,not provided,Selangor,15
Innovative,Large ,Retail services,25,not provided,Melaka,26
Innovative,Small ,Retail,1,provided,Melaka,5
Not innovative,Small ,Retail services,15,provided,Negeri Sembilan,15
Not innovative,Small ,Retail services,34,not provided,Negeri Sembilan,18
Not innovative,Small ,Retail services,5,not provided,Selangor,20
Not innovative,Large ,Other services,20,not provided,Negeri Sembilan,23
Not innovative,Small ,Other services,3,provided,Melaka,3
Innovative,Small ,Other services,25,provided,Selangor,16
